feature,mean_importance
exng,-138.7591893720816
oldpeak,-82.6171686416777
thall,-46.53853211009182
sex,0.0
cp,0.0
trtbps,0.0
fbs,0.0
restecg,0.0
slp,0.0
output,0.0
age,3.838236755550406
caa,35.781697853529565
thalachh,696.6250215895559
