feature,shap_importance
age,9.546181628770466
thalachh,7.9822574649090035
exng,6.055091210721682
oldpeak,3.74038875135131
caa,3.3463676038887216
thall,1.4233788312799724
sex,0.0
cp,0.0
trtbps,0.0
fbs,0.0
restecg,0.0
slp,0.0
output,0.0
