feature,shap_importance
thalachh,0.19733426
age,0.1716739
sex,0.17097598
thall,0.10609124
trtbps,0.097492434
restecg,0.07338156
oldpeak,0.061503336
cp,0.05246697
output,0.033483192
exng,0.033456046
caa,0.0324619
slp,0.019593727
fbs,0.009357589
