feature,mean_importance
thall,-0.04230426007076038
chol,-0.005545684751303348
oldpeak,-0.005113583008830647
restecg,-0.0015646431141447704
trtbps,-9.732835237716842e-05
caa,0.005122045936861497
slp,0.005930134532983767
age,0.006421985420068399
fbs,0.006705787037151767
exng,0.018071970860968144
sex,0.038158478883797954
thalachh,0.06355564573316648
output,0.08755765487836684
