feature,mean_importance
sex,-0.040220644528694116
slp,-0.036735896303455404
chol,-0.03510223546279777
trtbps,-0.0264907093906404
age,-0.0215369177512451
thalachh,-0.020840837556215585
thall,-0.014101916082804178
restecg,-0.0021433914128839993
caa,0.013558891030756182
fbs,0.013898710002974069
exng,0.01449697429341006
oldpeak,0.040917723087671866
cp,4.796539380587153
