feature,shap_importance
output,0.4422159435226605
exng,0.171740800933899
oldpeak,0.11733279996684999
trtbps,0.09221332061917992
thalachh,0.05932244296883049
age,0.05725226948979902
caa,0.02325167437290784
fbs,0.014512439937770023
chol,0.0125860751882582
thall,0.010367207073752356
slp,0.007303274249888173
sex,0.0
restecg,0.0
