feature,weight
intercept,-0.06319877433316422
age,0.1626514481438014
sex,-0.24236697453247452
cp,-0.03786262179040591
trtbps,0.04848703876235474
fbs,0.05700830504522424
restecg,-0.14085943333718454
thalachh,0.1140714877534601
exng,0.16114077145572217
oldpeak,-0.029298155450353053
slp,0.0711427857361407
caa,0.007362127358383749
thall,0.16945894079090518
output,-0.08384817954008292
