feature,mean_importance
thall,-0.035006795253991065
slp,-0.017335823847155086
age,0.0045032580574069225
caa,0.005130713196931191
restecg,0.006192834238749034
trtbps,0.007776954588213414
chol,0.010186080272024878
thalachh,0.010422552442731447
oldpeak,0.016053724206238896
sex,0.027080469709267075
fbs,0.03220253456101978
exng,0.04318971607614883
output,0.11748767884596881
